"State","State Debt","","Local Debt","","State and Local Debt","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","10.7","g","26.1","g","36.8","g","228.0","g","1.1","g","4.9","e"
"Alaska","5.9","g","3.5","g","9.4","g","55.7","g","-0.2","g","0.7","e"
"Arizona","13.3","g","30.5","g","43.8","g","361.1","g","2.3","g","7.3","e"
"Arkansas","7.3","g","14.9","g","22.2","g","131.4","g","0.5","g","3.0","e"
"California","145.0","g","298.7","g","443.7","g","3080.6","g","2.0","g","39.5","e"
"Colorado","18.7","g","44.2","g","62.9","g","384.1","g","2.0","g","5.8","e"
"Connecticut","41.7","g","12.1","g","53.8","g","280.8","g","0.5","g","3.6","e"
"Delaware","5.6","g","3.1","g","8.7","g","77.1","g","0.1","g","1.0","e"
"District of Columbia","0.0","g","15.7","g","15.7","g","144.2","g","1.2","g","0.7","e"
"Florida","26.7","g","98.2","g","125.0","g","1076.7","g","2.0","g","21.5","e"
"Georgia","13.6","g","46.6","g","60.2","g","607.0","g","1.4","g","10.6","e"
"Hawaii","10.1","g","6.6","g","16.7","g","94.3","g","0.5","g","1.4","e"
"Idaho","3.5","g","2.8","g","6.3","g","80.2","g","2.3","g","1.8","e"
"Illinois","72.7","g","108.9","g","181.6","g","892.6","g","1.2","g","12.7","e"
"Indiana","22.3","g","26.4","g","48.7","g","378.1","g","1.0","g","6.7","e"
"Iowa","6.4","g","13.8","g","20.2","g","195.5","g","0.8","g","3.2","e"
"Kansas","5.8","g","15.8","g","21.5","g","172.1","g","1.0","g","2.9","e"
"Kentucky","14.9","g","31.3","g","46.2","g","213.8","g","0.8","g","4.5","e"
"Louisiana","18.3","g","18.5","g","36.8","g","262.0","g","0.6","g","4.6","e"
"Maine","4.8","g","3.1","g","7.9","g","66.3","g","1.1","g","1.3","e"
"Maryland","28.2","g","26.5","g","54.7","g","423.8","g","0.9","g","6.0","e"
"Massachusetts","80.4","g","21.2","g","101.5","g","586.2","g","1.5","g","6.9","e"
"Michigan","33.8","g","39.0","g","72.8","g","544.1","g","1.5","g","10.0","e"
"Minnesota","16.9","g","37.8","g","54.7","g","379.9","g","1.2","g","5.6","e"
"Mississippi","7.1","g","6.7","g","13.8","g","117.2","g","0.5","g","3.0","e"
"Missouri","17.5","g","27.2","g","44.7","g","327.7","g","1.3","g","6.1","e"
"Montana","2.7","g","2.4","g","5.2","g","50.4","g","0.5","g","1.1","e"
"Nebraska","2.1","g","14.6","g","16.7","g","126.3","g","0.8","g","1.9","e"
"Nevada","3.6","g","26.8","g","30.4","g","172.1","g","1.8","g","3.1","e"
"New Hampshire","7.8","g","2.7","g","10.5","g","87.3","g","1.2","g","1.4","e"
"New Jersey","65.6","g","31.7","g","97.2","g","643.5","g","1.1","g","8.9","e"
"New Mexico","7.5","g","9.3","g","16.8","g","103.1","g","1.0","g","2.1","e"
"New York","156.2","g","235.4","g","391.6","g","1732.4","g","1.2","g","19.5","e"
"North Carolina","14.7","g","27.9","g","42.6","g","585.8","g","1.6","g","10.5","e"
"North Dakota","3.2","g","5.7","g","8.8","g","56.9","g","1.4","g","0.8","e"
"Ohio","30.2","g","48.8","g","79.0","g","698.1","g","1.0","g","11.7","e"
"Oklahoma","9.4","g","11.4","g","20.7","g","208.9","g","1.0","g","4.0","e"
"Oregon","15.3","g","26.6","g","41.8","g","247.7","g","1.9","g","4.2","e"
"Pennsylvania","50.7","g","80.5","g","131.3","g","814.6","g","1.2","g","12.8","e"
"Rhode Island","9.3","g","2.8","g","12.0","g","62.4","g","0.3","g","1.1","e"
"South Carolina","13.8","g","20.9","g","34.7","g","236.6","g","0.9","g","5.1","e"
"South Dakota","3.9","g","3.0","g","7.0","g","53.0","g","0.7","g","0.9","e"
"Tennessee","6.6","g","39.9","g","46.5","g","378.3","g","1.7","g","6.8","e"
"Texas","52.3","g","243.8","g","296.1","g","1861.4","g","1.8","g","29.0","e"
"Utah","7.4","g","13.1","g","20.5","g","185.5","g","2.5","g","3.2","e"
"Vermont","3.7","g","1.3","g","5.0","g","34.6","g","0.7","g","0.6","e"
"Virginia","30.3","g","41.4","g","71.7","g","551.8","g","1.6","g","8.5","e"
"Washington","34.7","g","57.2","g","91.8","g","591.9","g","3.4","g","7.6","e"
"West Virginia","9.4","g","4.6","g","14.0","g","80.6","g","1.3","g","1.8","e"
"Wisconsin","22.6","g","22.4","g","45.0","g","348.1","g","1.4","g","5.8","e"
"Wyoming","0.9","g","1.4","g","2.3","g","40.6","g","0.1","g","0.6","e"
