Municipality,Yes,Yes%,No,No%,Registered,Voted,Voted%
Andrijevica,1084,27.6,2824,71.89,4369,3928,89.91
Bar,16640,63.07,9496,35.99,32255,26382,81.79
Berane,11268,46.85,12618,52.46,28342,24051,84.86
Bijelo Polje,19405,55.36,15437,44.04,40110,35051,87.39
Budva,5908,52.75,5180,46.25,12797,11200,87.52
Cetinje,11536,85.21,1818,13.43,15077,13538,89.79
Danilovgrad,5671,53.15,4887,45.81,11784,10669,90.54
Herceg-Novi,7741,38.28,12284,60.75,24487,20220,88.50
Kolašin,2852,41.82,3903,57.23,7405,6820,92.1
Kotor,8200,55.04,6523,43.79,17778,14897,83.79
Mojkovac,3016,43.55,3849,55.57,7645,6926,90.59
Nikšić,26387,52.01,23837,46.98,56461,50737,89.86
Plav,7016,78.47,1874,20.96,12662,8941,70.61
Plužine,716,24.2,2230,75.36,3329,2959,88.88
Pljevlja,9115,36.07,16009,63.36,27882,25268,90.62
Podgorica,60626,53.22,52345,45.95,129083,113915,88.25
Rožaje,13835,90.79,1314,8.62,19646,15239,77.57
Šavnik,906,42.67,1197,56.38,2306,2123,92.06
Tivat,4916,55.86,3793,43.1,10776,8800,81.66
Ulcinj,12256,87.64,1592,11.38,17117,13985,81.7
Žabljak,1188,38.37,1884,60.85,3407,3096,90.87
