,Name,Shape,Elevation,Last_Eruption,Geo_Location,Island
0,Weh,stratovolcano,"617 metres (2,024 ft)",Pleistocene, ﻿5.82°N 95.28°E﻿ ,Sumatra
1,Seulawah Agam,stratovolcano,"1,810 metres (5,940 ft)",1839 (2), ﻿5.448°N 95.658°E﻿ ,Sumatra
2,Peuet Sague,complex volcano,"2,801 metres (9,190 ft)",25 December 2000 (2), ﻿4.914°N 96.329°E﻿ ,Sumatra
3,Geureudong,stratovolcano,"2,885 metres (9,465 ft)",1937, ﻿4.813°N 96.82°E﻿ ,Sumatra
4,Kembar,shield volcano,"2,245 metres (7,365 ft)",Pleistocene, ﻿3.850°N 97.664°E﻿ ,Sumatra
5,Sibayak,stratovolcano,"2,212 metres (7,257 ft)",unknown, ﻿3.23°N 98.52°E﻿ ,Sumatra
6,Sinabung,stratovolcano,"2,460 metres (8,070 ft)",10 August 2020 (2)[12], ﻿3.17°N 98.392°E﻿ ,Sumatra
7,Toba,supervolcano,"2,157 metres (7,077 ft)",75000 BC (8), ﻿2.58°N 98.83°E﻿ ,Sumatra
8,Helatoba-Tarutung,fumarole field,"1,100 metres (3,600 ft)",Pleistocene, ﻿2.03°N 98.93°E﻿ ,Sumatra
9,Imun,unknown,"1,505 metres (4,938 ft)",unknown, ﻿2.158°N 98.93°E﻿ ,Sumatra
10,Sibualbuali,stratovolcano,"1,819 metres (5,968 ft)",unknown, ﻿1.556°N 99.255°E﻿ ,Sumatra
11,Lubukraya,stratovolcano,"1,862 metres (6,109 ft)",unknown, ﻿1.478°N 99.209°E﻿ ,Sumatra
12,Sorikmarapi,stratovolcano,"2,145 metres (7,037 ft)",1986 (1), ﻿0.686°N 99.539°E﻿ ,Sumatra
13,Talakmau,complex volcano,"2,919 metres (9,577 ft)",unknown, ﻿0.079°N 99.98°E﻿ ,Sumatra
14,Sarik-Gajah,volcanic cone,unknown,unknown, ﻿0.008°N 100.20°E﻿ ,Sumatra
15,Marapi,complex volcano,"2,891 metres (9,485 ft)","2018
", ﻿0.381°S 100.473°E﻿ ,Sumatra
16,Tandikat,stratovolcano,"2,438 metres (7,999 ft)",1924 (1), ﻿0.433°S 100.317°E﻿ ,Sumatra
17,Talang,stratovolcano,"2,597 metres (8,520 ft)",12 April 2005 (2), ﻿0.978°S 100.679°E﻿ ,Sumatra
18,Kerinci,stratovolcano,"3,800 metres (12,500 ft)","2019 (on going)
", ﻿1.697°S 101.264°E﻿ ,Sumatra
19,Hutapanjang,stratovolcano,"2,021 metres (6,631 ft)",unknown, ﻿2.33°S 101.60°E﻿ ,Sumatra
20,Sumbing,stratovolcano,"2,507 metres (8,225 ft)",23 May 1921 (2), ﻿2.414°S 101.728°E﻿ ,Sumatra
21,Kunyit,stratovolcano,"2,151 metres (7,057 ft)",unknown, ﻿2.592°S 101.63°E﻿ ,Sumatra
22,Pendan,unknown,unknown,unknown, ﻿2.82°S 102.02°E﻿ ,Sumatra
23,Belirang-Beriti,complex volcano,"1,958 metres (6,424 ft)",unknown, ﻿2.82°S 102.18°E﻿ ,Sumatra
24,Bukit Daun,stratovolcano,"2,467 metres (8,094 ft)",unknown, ﻿3.38°S 102.37°E﻿ ,Sumatra
25,Kaba,stratovolcano,"1,952 metres (6,404 ft)",22 August 2000 (1), ﻿3.52°S 102.62°E﻿ ,Sumatra
26,Dempo,stratovolcano,"3,173 metres (10,410 ft)",2018 (1), ﻿4.03°S 103.13°E﻿ ,Sumatra
27,Patah,unknown,"2,817 metres (9,242 ft)",unknown, ﻿4.27°S 103.30°E﻿ ,Sumatra
28,Bukit Lumut Balai,stratovolcano,"2,055 metres (6,742 ft)",unknown, ﻿4.23°S 103.62°E﻿ ,Sumatra
29,Besar,stratovolcano,"1,899 metres (6,230 ft)",April 1940 (1), ﻿4.43°S 103.67°E﻿ ,Sumatra
30,Ranau,caldera,"1,881 metres (6,171 ft)",unknown, ﻿4.83°S 103.92°E﻿ ,Sumatra
31,Sekincau Belirang,caldera,"1,719 metres (5,640 ft)",unknown, ﻿5.12°S 104.32°E﻿ ,Sumatra
32,Suoh,caldera,"1,000 metres (3,300 ft)",10 July 1933 (4), ﻿5.25°S 104.27°E﻿ ,Sumatra
33,Hulubelu,caldera,"1,040 metres (3,410 ft)",1836, ﻿5.35°S 104.60°E﻿ ,Sumatra
34,Rajabasa,stratovolcano,"1,281 metres (4,203 ft)",1798, ﻿5.78°S 105.625°E﻿ ,Sumatra
35,Krakatau,caldera,"813 metres (2,667 ft)",2019 (ongoing), ﻿6.102°S 105.423°E﻿ ,Sunda_Strait_and_Java
36,Pulosari,stratovolcano,"1,346 metres (4,416 ft)",unknown, ﻿6.342°S 105.975°E﻿ ,Sunda_Strait_and_Java
37,Gunung Karang,stratovolcano,"1,778 metres (5,833 ft)",unknown, ﻿6.27°S 106.042°E﻿ ,Sunda_Strait_and_Java
38,Kiaraberes-Gagak,stratovolcano,"1,511 metres (4,957 ft)",6 April 1939 (1), ﻿6.73°S 106.65°E﻿ ,Sunda_Strait_and_Java
39,Perbakti,stratovolcano,"1,699 metres (5,574 ft)",unknown, ﻿6.75°S 106.68°E﻿ ,Sunda_Strait_and_Java
40,Salak,stratovolcano,"2,211 metres (7,254 ft)",31 January 1938 (2), ﻿6.72°S 106.73°E﻿ ,Sunda_Strait_and_Java
41,Gede,stratovolcano,"2,958 metres (9,705 ft)",13 March 1957 (2), ﻿6.78°S 106.98°E﻿ ,Sunda_Strait_and_Java
42,Patuha,stratovolcano,"2,434 metres (7,986 ft)",unknown, ﻿7.160°S 107.40°E﻿ ,Sunda_Strait_and_Java
43,Wayang-Windu,lava dome,"2,182 metres (7,159 ft)",unknown, ﻿7.208°S 107.63°E﻿ ,Sunda_Strait_and_Java
44,Malabar,stratovolcano,"2,343 metres (7,687 ft)",unknown, ﻿7.13°S 107.65°E﻿ ,Sunda_Strait_and_Java
45,Tangkuban Perahu,stratovolcano,"2,084 metres (6,837 ft)",26 June 2019 (1), ﻿6.77°S 107.60°E﻿ ,Sunda_Strait_and_Java
46,Papandayan,stratovolcano,"2,665 metres (8,743 ft)",11 November 2002 (2), ﻿7.32°S 107.73°E﻿ ,Sunda_Strait_and_Java
47,Kendang,stratovolcano,"2,608 metres (8,556 ft)",unknown, ﻿7.23°S 107.72°E﻿ ,Sunda_Strait_and_Java
48,Kamojang,stratovolcano,"1,730 metres (5,680 ft)",Pleistocene, ﻿7.125°S 107.80°E﻿ ,Sunda_Strait_and_Java
49,Guntur,complex volcano,"2,249 metres (7,379 ft)",16 October 1847 (2), ﻿7.143°S 107.840°E﻿ ,Sunda_Strait_and_Java
50,Tampomas,stratovolcano,"1,684 metres (5,525 ft)",unknown, ﻿6.77°S 107.95°E﻿ ,Sunda_Strait_and_Java
51,Galunggung,stratovolcano,"2,168 metres (7,113 ft)",9 January 1984 (1), ﻿7.25°S 108.058°E﻿ ,Sunda_Strait_and_Java
52,Talagabodas,stratovolcano,"2,201 metres (7,221 ft)",unknown, ﻿7.208°S 108.07°E﻿ ,Sunda_Strait_and_Java
53,Karaha,fumarole,"1,155 metres (3,789 ft)",unknown, ﻿7.12°S 108.08°E﻿ ,Sunda_Strait_and_Java
54,Cereme,stratovolcano,"3,078 metres (10,098 ft)",1951, ﻿6.892°S 108.40°E﻿ ,Sunda_Strait_and_Java
55,Slamet,stratovolcano,"3,432 metres (11,260 ft)",2014, ﻿7.242°S 109.208°E﻿ ,Sunda_Strait_and_Java
56,Dieng,complex volcano,"2,565 metres (8,415 ft)",2018 (1), ﻿7.20°S 109.92°E﻿ ,Sunda_Strait_and_Java
57,Sundoro,stratovolcano,"3,136 metres (10,289 ft)",29 October 1971 (2), ﻿7.30°S 109.992°E﻿ ,Sunda_Strait_and_Java
58,Sumbing,stratovolcano,"3,371 metres (11,060 ft)",1730 (?), ﻿7.384°S 110.070°E﻿ ,Sunda_Strait_and_Java
59,Ungaran,stratovolcano,"2,050 metres (6,730 ft)",unknown, ﻿7.18°S 110.33°E﻿ ,Sunda_Strait_and_Java
60,Telomoyo,stratovolcano,"1,894 metres (6,214 ft)",unknown, ﻿7.37°S 110.40°E﻿ ,Sunda_Strait_and_Java
61,Merbabu,stratovolcano,"3,145 metres (10,318 ft)",1797 (2), ﻿7.45°S 110.43°E﻿ ,Sunda_Strait_and_Java
62,Merapi,stratovolcano,"2,968 metres (9,738 ft)
","2019 (ongoing)
", ﻿7.542°S 110.442°E﻿ ,Sunda_Strait_and_Java
63,Muria,stratovolcano,"1,625 metres (5,331 ft)",160 BC ± 30 years, ﻿6.62°S 110.88°E﻿ ,Sunda_Strait_and_Java
64,Lawu,stratovolcano,"3,265 metres (10,712 ft)",28 November 1885 (1), ﻿7.625°S 111.192°E﻿ ,Sunda_Strait_and_Java
65,Wilis,stratovolcano,"2,563 metres (8,409 ft)",unknown, ﻿7.808°S 111.758°E﻿ ,Sunda_Strait_and_Java
66,Kelud,stratovolcano,"1,731 metres (5,679 ft)",13 February 2014 (4), ﻿7.93°S 112.308°E﻿ ,Sunda_Strait_and_Java
67,Kawi-Butak,stratovolcano,"2,651 metres (8,698 ft)",unknown, ﻿7.92°S 112.45°E﻿ ,Sunda_Strait_and_Java
68,Arjuno-Welirang,stratovolcano,"3,339 metres (10,955 ft)",15 August 1952 (0), ﻿7.725°S 112.58°E﻿ ,Sunda_Strait_and_Java
69,Penanggungan,stratovolcano,"1,653 metres (5,423 ft)",unknown, ﻿7.62°S 112.63°E﻿ ,Sunda_Strait_and_Java
70,Malang Plain,maar,"680 metres (2,230 ft)",unknown, ﻿8.02°S 112.68°E﻿ ,Sunda_Strait_and_Java
71,Semeru,stratovolcano,"3,676 metres (12,060 ft)",2020 (ongoing), ﻿8.108°S 112.92°E﻿ ,Sunda_Strait_and_Java
72,Bromo,stratovolcano,"2,329 metres (7,641 ft)","2019
", ﻿7.942°S 112.95°E﻿ ,Sunda_Strait_and_Java
73,Lamongan,stratovolcano,"1,651 metres (5,417 ft)",5 February 1898 (2), ﻿7.979°S 113.342°E﻿ ,Sunda_Strait_and_Java
74,Lurus,complex volcano,"539 metres (1,768 ft)",unknown, ﻿7.73°S 113.58°E﻿ ,Sunda_Strait_and_Java
75,Iyang-Argapura,complex volcano,"3,088 metres (10,131 ft)",unknown, ﻿7.97°S 113.57°E﻿ ,Sunda_Strait_and_Java
76,Raung,stratovolcano,"3,332 metres (10,932 ft)",29 June 2015 (?), ﻿8.125°S 114.042°E﻿ ,Sunda_Strait_and_Java
77,Ijen,stratovolcano,"2,799 metres (9,183 ft)",28 June 1999 (1), ﻿8.058°S 114.242°E﻿ ,Sunda_Strait_and_Java
78,Baluran,stratovolcano,"1,247 metres (4,091 ft)",unknown, ﻿7.85°S 114.37°E﻿ ,Sunda_Strait_and_Java
79,Merbuk,unknown,"1,386 metres (4,547 ft)",unknown,,Bali
80,Bratan,caldera,"2,276 metres (7,467 ft)",unknown, ﻿8.28°S 115.13°E﻿ ,Bali
